Date,Open,High,Low,Close,Volume
8/28/2015,4307.59,4340.7,4295.71,4329.12,333886207
8/31/2015,4300.68,4324.72,4262.14,4274.58,317070690
9/1/2015,4177.57,4229.21,4122.04,4142.63,388577586
9/2/2015,4207.2,4256.23,4166.08,4256.23,332600000
9/3/2015,4267.2,4299.63,4222.38,4234.65,310917241
9/4/2015,4175.82,4210.79,4160.54,4184.72,271503448
9/8/2015,4267.2,4306.36,4247.59,4303.53,304413793
9/9/2015,4346.19,4352.78,4242.67,4253.45,338577586
9/10/2015,4246.5,4326.68,4243.82,4296.3,318236207
9/11/2015,4273.8,4323.23,4268.58,4323.23,290722414
9/14/2015,4334.7,4334.7,4294.48,4308.76,253058621
9/15/2015,4322.12,4373.17,4304.1,4360.28,273700000
9/16/2015,4357.31,4388.17,4346.57,4383.67,287306897
9/17/2015,4378.18,4450.56,4370.83,4384.96,326122414
9/18/2015,4325.92,4374.91,4317.09,4323.86,564163793
9/21/2015,4344.26,4372.26,4299.94,4336.13,348539655
9/22/2015,4273.92,4286.39,4234.01,4274.1,352220690
9/23/2015,4279.71,4294.53,4255.06,4273.53,276953448
9/24/2015,4239.85,4275.61,4198.13,4261.1,344106897
9/25/2015,4305.38,4308.31,4199.11,4224.74,353539655
9/28/2015,4206.68,4207.02,4092.29,4103.47,411656897
9/29/2015,4110.56,4155.27,4053.3,4083.37,395422414
9/30/2015,4136.55,4181.06,4125.2,4181.06,413508621
10/1/2015,4184.81,4194.12,4128.51,4192.96,367929310
10/2/2015,4137.78,4267.45,4124.54,4267.45,376434483
10/5/2015,4295.94,4339.22,4290.4,4331.43,345744828
10/6/2015,4315.57,4331.77,4273.73,4306.7,359486207
10/7/2015,4332.67,4342.36,4279.28,4333.46,370670690
10/8/2015,4316.28,4358.08,4275.8,4350.15,342108621
10/9/2015,4355.75,4378.26,4341.76,4370.01,311079310
10/12/2015,4380.02,4389.52,4363.97,4382.56,231693103
10/13/2015,4353.63,4399.93,4349.18,4352.94,269837931
10/14/2015,4357.05,4373.54,4328.97,4346.92,328010345
10/15/2015,4362.14,4418.25,4357.22,4418.22,334982759
10/16/2015,4419.69,4438.74,4405.91,4438.62,319877586
10/19/2015,4429.16,4464.75,4420.8,4462.07,279296552
10/20/2015,4455.18,4463.11,4424.38,4438.18,295120690
10/21/2015,4461.71,4464.73,4409.9,4413.52,326791379
